Piece	i	Task	Start	Finish	Duration	Resource	Duration_%	Description	Duration_normalized
K279-1 (C)	65	ii	72.0	73.0	1.0	tonic of adjacent applied chord(s)	0.9	Duration: 1.0<br>Local harmony: ii	5.0
K279-1 (C)	66	ii	77.0	77.4	0.4	tonic of adjacent applied chord(s)	0.36	Duration: 0.4<br>Local harmony: ii	1.7
K279-1 (C)	67	V	78.5	78.8	0.3	tonic of adjacent applied chord(s)	0.27	Duration: 0.3<br>Local harmony: V\\	1.1
K279-2 (F)	0	I	1.0	8.4	7.4	local	8.65	Duration: 7.4	100.0
K279-2 (F)	1	IV	8.4	9.0	0.6	applied	0.7	Duration: 0.6<br>In local context: IV	4.2
K279-2 (F)	2	I	9.0	9.7	0.7	local	0.82	Duration: 0.7	5.6
K279-2 (F)	3	V	9.7	10.0	0.3	applied	0.35	Duration: 0.3<br>In local context: V	0.0
K279-2 (F)	4	I	10.0	11.0	1.0	local	1.17	Duration: 1.0	9.9
K279-2 (F)	5	V	11.0	15.0	4.0	local	4.68	Duration: 4.0	52.1
K279-2 (F)	6	II	15.0	15.3	0.3	applied	0.35	Duration: 0.3<br>In local context: V	0.0
K279-2 (F)	7	V	15.3	18.0	2.7	local	3.16	Duration: 2.7	33.8
K279-2 (F)	8	II	18.0	18.3	0.3	applied	0.35	Duration: 0.3<br>In local context: V	0.0
K279-2 (F)	9	V	18.3	19.3	1.0	local	1.17	Duration: 1.0	9.9
K279-2 (F)	10	iii	19.3	19.7	0.4	applied	0.47	Duration: 0.4<br>In local context: vi	1.4
K279-2 (F)	11	V	19.7	23.0	3.3	local	3.86	Duration: 3.3	42.3
K279-2 (F)	12	II	23.0	24.0	1.0	applied	1.17	Duration: 1.0<br>In local context: V	9.9
K279-2 (F)	13	V	24.0	25.0	1.0	local	1.17	Duration: 1.0	9.9
K279-2 (F)	14	II	25.0	25.3	0.3	applied	0.35	Duration: 0.3<br>In local context: V	0.0
K279-2 (F)	15	V	25.3	31.0	5.7	local	6.67	Duration: 5.7	76.1
K279-2 (F)	16	vi	31.0	37.0	6.0	local	7.02	Duration: 6.0	80.3
K279-2 (F)	17	ii	37.0	38.0	1.0	applied	1.17	Duration: 1.0<br>In local context: iv	9.9
K279-2 (F)	18	vi	38.0	41.0	3.0	local	3.51	Duration: 3.0	38.0
K279-2 (F)	19	I	41.0	47.3	6.3	local	7.37	Duration: 6.3	84.5
K279-2 (F)	20	vi	47.3	47.7	0.4	applied	0.47	Duration: 0.4<br>In local context: vi	1.4
K279-2 (F)	21	I	47.7	48.0	0.3	local	0.35	Duration: 0.3	0.0
K279-2 (F)	22	V	48.0	50.0	2.0	applied	2.34	Duration: 2.0<br>In local context: V	23.9
K279-2 (F)	23	I	50.0	55.0	5.0	local	5.85	Duration: 5.0	66.2
K279-2 (F)	24	V	55.0	55.3	0.3	applied	0.35	Duration: 0.3<br>In local context: V	0.0
K279-2 (F)	25	I	55.3	58.0	2.7	local	3.16	Duration: 2.7	33.8
K279-2 (F)	26	V	58.0	58.3	0.3	applied	0.35	Duration: 0.3<br>In local context: V	0.0
K279-2 (F)	27	I	58.3	59.3	1.0	local	1.17	Duration: 1.0	9.9
K279-2 (F)	28	vi	59.3	59.7	0.4	applied	0.47	Duration: 0.4<br>In local context: vi	1.4
K279-2 (F)	29	I	59.7	65.0	5.3	local	6.2	Duration: 5.3	70.4
K279-2 (F)	30	V	65.0	66.0	1.0	applied	1.17	Duration: 1.0<br>In local context: V	9.9
K279-2 (F)	31	I	66.0	67.0	1.0	local	1.17	Duration: 1.0	9.9
K279-2 (F)	32	V	67.0	67.3	0.3	applied	0.35	Duration: 0.3<br>In local context: V	0.0
K279-2 (F)	33	I	67.3	70.4	3.1	local	3.63	Duration: 3.1	39.4
K279-2 (F)	34	IV	70.4	71.0	0.6	applied	0.7	Duration: 0.6<br>In local context: IV	4.2
K279-2 (F)	35	I	71.0	75.0	4.0	local	4.68	Duration: 4.0	52.1
K279-2 (F)	36	V	10.0	12.0	2.0	tonic of adjacent applied chord(s)	2.34	Duration: 2.0<br>Local harmony: V\\	23.9
K279-2 (F)	37	II	15.3	16.0	0.7	tonic of adjacent applied chord(s)	0.82	Duration: 0.7<br>Local harmony: V	5.6
K279-2 (F)	38	II	18.3	18.7	0.4	tonic of adjacent applied chord(s)	0.47	Duration: 0.4<br>Local harmony: V(b64)	1.4
K279-2 (F)	39	iii	19.7	20.0	0.3	tonic of adjacent applied chord(s)	0.35	Duration: 0.3<br>Local harmony: vi(64)	0.0
K279-2 (F)	40	II	24.0	25.0	1.0	tonic of adjacent applied chord(s)	1.17	Duration: 1.0<br>Local harmony: V(64)	9.9
K279-2 (F)	41	II	25.3	26.0	0.7	tonic of adjacent applied chord(s)	0.82	Duration: 0.7<br>Local harmony: V(4)	5.6
K279-2 (F)	42	ii	38.0	41.0	3.0	tonic of adjacent applied chord(s)	3.51	Duration: 3.0<br>Local harmony: iv6	38.0
K279-2 (F)	43	vi	47.7	48.0	0.3	tonic of adjacent applied chord(s)	0.35	Duration: 0.3<br>Local harmony: vi	0.0
K279-2 (F)	44	V	55.3	56.0	0.7	tonic of adjacent applied chord(s)	0.82	Duration: 0.7<br>Local harmony: V	5.6
K279-2 (F)	45	V	58.3	58.7	0.4	tonic of adjacent applied chord(s)	0.47	Duration: 0.4<br>Local harmony: V(6b4)	1.4
K279-2 (F)	46	vi	59.7	60.0	0.3	tonic of adjacent applied chord(s)	0.35	Duration: 0.3<br>Local harmony: vi(64)	0.0
K279-2 (F)	47	V	66.0	67.0	1.0	tonic of adjacent applied chord(s)	1.17	Duration: 1.0<br>Local harmony: V(64)	9.9
K279-2 (F)	48	V	67.3	68.0	0.7	tonic of adjacent applied chord(s)	0.82	Duration: 0.7<br>Local harmony: V(4)	5.6
K279-3 (C)	0	I	1.0	3.8	2.8	local	1.65	Duration: 2.8	13.8
K279-3 (C)	1	V	3.8	4.0	0.2	applied	0.12	Duration: 0.2<br>In local context: V	0.0
K279-3 (C)	2	I	4.0	7.5	3.5	local	2.06	Duration: 3.5	17.6
K279-3 (C)	3	V	7.5	7.8	0.3	applied	0.18	Duration: 0.3<br>In local context: V	0.5
K279-3 (C)	4	I	7.8	8.5	0.7	local	0.41	Duration: 0.7	2.7
K279-3 (C)	5	V	8.5	8.8	0.3	applied	0.18	Duration: 0.3<br>In local context: V	0.5
K279-3 (C)	6	I	8.8	14.0	5.2	local	3.06	Duration: 5.2	26.6
K279-3 (C)	7	V	14.0	15.0	1.0	applied	0.59	Duration: 1.0<br>In local context: V	4.3
K279-3 (C)	8	V	15.0	17.8	2.8	local	1.65	Duration: 2.8	13.8
K279-3 (C)	9	II	17.8	18.0	0.2	applied	0.12	Duration: 0.2<br>In local context: V	0.0
K279-3 (C)	10	V	18.0	24.5	6.5	local	3.82	Duration: 6.5	33.5
K279-3 (C)	11	II	24.5	24.8	0.3	applied	0.18	Duration: 0.3<br>In local context: V	0.5
K279-3 (C)	12	V	24.8	29.5	4.7	local	2.76	Duration: 4.7	23.9
K279-3 (C)	13	II	29.5	30.0	0.5	applied	0.29	Duration: 0.5<br>In local context: V	1.6
K279-3 (C)	14	V	30.0	32.2	2.2	local	1.29	Duration: 2.2	10.6
K279-3 (C)	15	iii	32.2	32.5	0.3	applied	0.18	Duration: 0.3<br>In local context: vi	0.5
K279-3 (C)	16	V	32.5	47.0	14.5	local	8.52	Duration: 14.5	76.1
K279-3 (C)	17	II	47.0	47.5	0.5	applied	0.29	Duration: 0.5<br>In local context: V	1.6
K279-3 (C)	18	V	47.5	51.0	3.5	local	2.06	Duration: 3.5	17.6
K279-3 (C)	19	II	51.0	51.5	0.5	applied	0.29	Duration: 0.5<br>In local context: V	1.6
K279-3 (C)	20	V	51.5	58.5	7.0	local	4.11	Duration: 7.0	36.2
K279-3 (C)	21	II	58.5	58.8	0.3	applied	0.18	Duration: 0.3<br>In local context: V	0.5
K279-3 (C)	22	V	58.8	60.5	1.7	local	1.0	Duration: 1.7	8.0
K279-3 (C)	23	vii	60.5	60.8	0.3	applied	0.18	Duration: 0.3<br>In local context: iii	0.5
K279-3 (C)	24	V	60.8	61.0	0.2	local	0.12	Duration: 0.2	0.0
K279-3 (C)	25	I	61.0	61.5	0.5	applied	0.29	Duration: 0.5<br>In local context: IV	1.6
K279-3 (C)	26	V	61.5	62.0	0.5	local	0.29	Duration: 0.5	1.6
K279-3 (C)	27	vi	62.0	64.5	2.5	local	1.47	Duration: 2.5	12.2
K279-3 (C)	28	iii	64.5	64.8	0.3	applied	0.18	Duration: 0.3<br>In local context: v	0.5
K279-3 (C)	29	vi	64.8	66.5	1.7	local	1.0	Duration: 1.7	8.0
K279-3 (C)	30	I	66.5	66.8	0.3	applied	0.18	Duration: 0.3<br>In local context: III	0.5
K279-3 (C)	31	vi	66.8	77.0	10.2	local	5.99	Duration: 10.2	53.2
K279-3 (C)	32	iii	77.0	80.0	3.0	local	1.76	Duration: 3.0	14.9
K279-3 (C)	33	ii	80.0	84.0	4.0	local	2.35	Duration: 4.0	20.2
K279-3 (C)	34	I	84.0	89.8	5.8	local	3.41	Duration: 5.8	29.8
K279-3 (C)	35	V	89.8	90.0	0.2	applied	0.12	Duration: 0.2<br>In local context: V	0.0
K279-3 (C)	36	I	90.0	93.5	3.5	local	2.06	Duration: 3.5	17.6
K279-3 (C)	37	V	93.5	93.8	0.3	applied	0.18	Duration: 0.3<br>In local context: V	0.5
K279-3 (C)	38	I	93.8	94.5	0.7	local	0.41	Duration: 0.7	2.7
K279-3 (C)	39	V	94.5	94.8	0.3	applied	0.18	Duration: 0.3<br>In local context: V	0.5
K279-3 (C)	40	I	94.8	97.0	2.2	local	1.29	Duration: 2.2	10.6
K279-3 (C)	41	IV	97.0	98.0	1.0	applied	0.59	Duration: 1.0<br>In local context: IV	4.3
K279-3 (C)	42	I	98.0	110.5	12.5	local	7.34	Duration: 12.5	65.4
K279-3 (C)	43	V	110.5	110.8	0.3	applied	0.18	Duration: 0.3<br>In local context: V	0.5
K279-3 (C)	44	I	110.8	115.5	4.7	local	2.76	Duration: 4.7	23.9
K279-3 (C)	45	V	115.5	116.0	0.5	applied	0.29	Duration: 0.5<br>In local context: V	1.6
K279-3 (C)	46	I	116.0	118.2	2.2	local	1.29	Duration: 2.2	10.6
K279-3 (C)	47	vi	118.2	118.5	0.3	applied	0.18	Duration: 0.3<br>In local context: vi	0.5
K279-3 (C)	48	I	118.5	137.5	19.0	local	11.16	Duration: 19.0	100.0
K279-3 (C)	49	V	137.5	137.8	0.3	applied	0.18	Duration: 0.3<br>In local context: V	0.5
K279-3 (C)	50	I	137.8	138.5	0.7	local	0.41	Duration: 0.7	2.7
K279-3 (C)	51	iii	138.5	138.8	0.3	applied	0.18	Duration: 0.3<br>In local context: iii	0.5
K279-3 (C)	52	I	138.8	141.5	2.7	local	1.59	Duration: 2.7	13.3
K279-3 (C)	53	V	141.5	141.8	0.3	applied	0.18	Duration: 0.3<br>In local context: V	0.5
K279-3 (C)	54	I	141.8	143.2	1.4	local	0.82	Duration: 1.4	6.4
K279-3 (C)	55	V	143.2	143.5	0.3	applied	0.18	Duration: 0.3<br>In local context: V	0.5
K279-3 (C)	56	iii	143.5	143.8	0.3	applied	0.18	Duration: 0.3<br>In local context: iii	0.5
K279-3 (C)	57	I	143.8	148.0	4.2	local	2.47	Duration: 4.2	21.3
K279-3 (C)	58	V	148.0	148.5	0.5	applied	0.29	Duration: 0.5<br>In local context: V	1.6
K279-3 (C)	59	I	148.5	152.0	3.5	local	2.06	Duration: 3.5	17.6
K279-3 (C)	60	V	152.0	152.5	0.5	applied	0.29	Duration: 0.5<br>In local context: V	1.6
K279-3 (C)	61	I	152.5	158.0	5.5	local	3.23	Duration: 5.5	28.2
K279-3 (C)	62	V	4.0	5.0	1.0	tonic of adjacent applied chord(s)	0.59	Duration: 1.0<br>Local harmony: V\\	4.3
K279-3 (C)	63	V	7.8	8.0	0.2	tonic of adjacent applied chord(s)	0.12	Duration: 0.2<br>Local harmony: V65	0.0
K279-3 (C)	64	V	8.8	9.0	0.2	tonic of adjacent applied chord(s)	0.12	Duration: 0.2<br>Local harmony: V65	0.0
K279-3 (C)	65	V	12.0	14.0	2.0	tonic of adjacent applied chord(s)	1.18	Duration: 2.0<br>Local harmony: V6	9.6
K279-3 (C)	66	V	15.0	16.0	1.0	tonic of adjacent applied chord(s)	0.59	Duration: 1.0<br>Local harmony: V7	4.3
K279-3 (C)	67	II	18.0	18.8	0.8	tonic of adjacent applied chord(s)	0.47	Duration: 0.8<br>Local harmony: V\\	3.2
K279-3 (C)	68	II	24.8	25.0	0.2	tonic of adjacent applied chord(s)	0.12	Duration: 0.2<br>Local harmony: V	0.0
K279-3 (C)	69	II	30.0	30.8	0.8	tonic of adjacent applied chord(s)	0.47	Duration: 0.8<br>Local harmony: V\\	3.2
K279-3 (C)	70	II	58.8	59.0	0.2	tonic of adjacent applied chord(s)	0.12	Duration: 0.2<br>Local harmony: V	0.0
K279-3 (C)	71	vii	60.8	61.0	0.2	tonic of adjacent applied chord(s)	0.12	Duration: 0.2<br>Local harmony: iii	0.0
K279-3 (C)	72	I	61.5	62.0	0.5	tonic of adjacent applied chord(s)	0.29	Duration: 0.5<br>Local harmony: IV	1.6
K279-3 (C)	73	iii	64.8	65.0	0.2	tonic of adjacent applied chord(s)	0.12	Duration: 0.2<br>Local harmony: v6	0.0
K279-3 (C)	74	I	66.8	67.0	0.2	tonic of adjacent applied chord(s)	0.12	Duration: 0.2<br>Local harmony: III6	0.0
K279-3 (C)	75	V	90.0	91.0	1.0	tonic of adjacent applied chord(s)	0.59	Duration: 1.0<br>Local harmony: V\\	4.3
K279-3 (C)	76	V	93.8	94.0	0.2	tonic of adjacent applied chord(s)	0.12	Duration: 0.2<br>Local harmony: V2	0.0
K279-3 (C)	77	V	94.8	95.0	0.2	tonic of adjacent applied chord(s)	0.12	Duration: 0.2<br>Local harmony: V65	0.0
K279-3 (C)	78	IV	98.0	100.0	2.0	tonic of adjacent applied chord(s)	1.18	Duration: 2.0<br>Local harmony: IV	9.6
K279-3 (C)	79	V	110.8	111.0	0.2	tonic of adjacent applied chord(s)	0.12	Duration: 0.2<br>Local harmony: V	0.0
K279-3 (C)	80	V	116.0	116.8	0.8	tonic of adjacent applied chord(s)	0.47	Duration: 0.8<br>Local harmony: V\\	3.2
K279-3 (C)	81	vi	118.5	119.0	0.5	tonic of adjacent applied chord(s)	0.29	Duration: 0.5<br>Local harmony: vi	1.6
K279-3 (C)	82	V	137.8	138.0	0.2	tonic of adjacent applied chord(s)	0.12	Duration: 0.2<br>Local harmony: V	0.0
K279-3 (C)	83	iii	138.8	139.0	0.2	tonic of adjacent applied chord(s)	0.12	Duration: 0.2<br>Local harmony: iii	0.0
K279-3 (C)	84	V	141.8	142.0	0.2	tonic of adjacent applied chord(s)	0.12	Duration: 0.2<br>Local harmony: V6	0.0
K279-3 (C)	85	iii	143.8	144.0	0.2	tonic of adjacent applied chord(s)	0.12	Duration: 0.2<br>Local harmony: iii6	0.0
K280-1 (F)	0	I	1.0	3.7	2.7	local	1.77	Duration: 2.7	10.1
K280-1 (F)	1	IV	3.7	4.0	0.3	applied	0.2	Duration: 0.3<br>In local context: IV	0.0
K280-1 (F)	2	I	4.0	18.0	14.0	local	9.17	Duration: 14.0	57.8
K280-1 (F)	3	V	18.0	18.3	0.3	applied	0.2	Duration: 0.3<br>In local context: V	0.0
K280-1 (F)	4	I	18.3	19.0	0.7	local	0.46	Duration: 0.7	1.7
K280-1 (F)	5	IV	19.0	19.3	0.3	applied	0.2	Duration: 0.3<br>In local context: IV	0.0
K280-1 (F)	6	I	19.3	20.0	0.7	local	0.46	Duration: 0.7	1.7
K280-1 (F)	7	V	20.0	20.3	0.3	applied	0.2	Duration: 0.3<br>In local context: V	0.0
K280-1 (F)	8	vi	20.3	20.7	0.4	applied	0.26	Duration: 0.4<br>In local context: vi	0.4
K280-1 (F)	9	I	20.7	21.0	0.3	local	0.2	Duration: 0.3	0.0
K280-1 (F)	10	ii	21.0	21.3	0.3	applied	0.2	Duration: 0.3<br>In local context: ii	0.0
K280-1 (F)	11	V	21.3	21.7	0.4	applied	0.26	Duration: 0.4<br>In local context: V	0.4
K280-1 (F)	12	I	21.7	22.0	0.3	local	0.2	Duration: 0.3	0.0
K280-1 (F)	13	vi	22.0	22.3	0.3	applied	0.2	Duration: 0.3<br>In local context: vi	0.0
K280-1 (F)	14	I	22.3	27.0	4.7	local	3.08	Duration: 4.7	18.6
K280-1 (F)	15	V	27.0	37.0	10.0	local	6.55	Duration: 10.0	40.9
K280-1 (F)	16	II	37.0	38.0	1.0	applied	0.66	Duration: 1.0<br>In local context: V	3.0
K280-1 (F)	17	V	38.0	39.0	1.0	local	0.66	Duration: 1.0	3.0
K280-1 (F)	18	iii	39.0	40.0	1.0	applied	0.66	Duration: 1.0<br>In local context: vi	3.0
K280-1 (F)	19	V	40.0	64.0	24.0	local	15.73	Duration: 24.0	100.0
K280-1 (F)	20	vi	64.0	65.3	1.3	applied	0.85	Duration: 1.3<br>In local context: ii	4.2
K280-1 (F)	21	V	65.3	66.0	0.7	local	0.46	Duration: 0.7	1.7
K280-1 (F)	22	vi	66.0	67.0	1.0	applied	0.66	Duration: 1.0<br>In local context: ii	3.0
K280-1 (F)	23	vi	67.0	77.0	10.0	local	6.55	Duration: 10.0	40.9
K280-1 (F)	24	III	77.0	78.0	1.0	applied	0.66	Duration: 1.0<br>In local context: V	3.0
K280-1 (F)	25	vi	78.0	78.7	0.7	local	0.46	Duration: 0.7	1.7
K280-1 (F)	26	III	78.7	79.0	0.3	applied	0.2	Duration: 0.3<br>In local context: V	0.0
K280-1 (F)	27	vi	79.0	79.7	0.7	local	0.46	Duration: 0.7	1.7
K280-1 (F)	28	III	79.7	80.0	0.3	applied	0.2	Duration: 0.3<br>In local context: V	0.0
K280-1 (F)	29	vi	80.0	81.0	1.0	local	0.66	Duration: 1.0	3.0
K280-1 (F)	30	III	81.0	82.0	1.0	applied	0.66	Duration: 1.0<br>In local context: V	3.0
K280-1 (F)	31	I	82.0	85.7	3.7	local	2.42	Duration: 3.7	14.3
K280-1 (F)	32	IV	85.7	86.0	0.3	applied	0.2	Duration: 0.3<br>In local context: IV	0.0
K280-1 (F)	33	I	86.0	100.0	14.0	local	9.17	Duration: 14.0	57.8
K280-1 (F)	34	V	100.0	100.3	0.3	applied	0.2	Duration: 0.3<br>In local context: V	0.0
K280-1 (F)	35	I	100.3	101.0	0.7	local	0.46	Duration: 0.7	1.7
K280-1 (F)	36	vi	101.0	101.3	0.3	applied	0.2	Duration: 0.3<br>In local context: vi	0.0
K280-1 (F)	37	I	101.3	102.0	0.7	local	0.46	Duration: 0.7	1.7
K280-1 (F)	38	iii	102.0	102.3	0.3	applied	0.2	Duration: 0.3<br>In local context: iii	0.0
K280-1 (F)	39	I	102.3	103.0	0.7	local	0.46	Duration: 0.7	1.7
K280-1 (F)	40	IV	103.0	103.3	0.3	applied	0.2	Duration: 0.3<br>In local context: IV	0.0
K280-1 (F)	41	I	103.3	125.0	21.7	local	14.22	Duration: 21.7	90.3
K280-1 (F)	42	V	125.0	126.0	1.0	applied	0.66	Duration: 1.0<br>In local context: V	3.0
K280-1 (F)	43	I	126.0	127.0	1.0	local	0.66	Duration: 1.0	3.0
K280-1 (F)	44	vi	127.0	128.0	1.0	applied	0.66	Duration: 1.0<br>In local context: vi	3.0
K280-1 (F)	45	I	128.0	145.0	17.0	local	11.14	Duration: 17.0	70.5
K280-1 (F)	46	IV	4.0	5.0	1.0	tonic of adjacent applied chord(s)	0.66	Duration: 1.0<br>Local harmony: IV	3.0
K280-1 (F)	47	V	18.3	18.7	0.4	tonic of adjacent applied chord(s)	0.26	Duration: 0.4<br>Local harmony: V6	0.4
